Date caught,Net location ,Net soak time (h),Net entanglement side (east or west),Water depth (m),Sea surface temperature (degrees C),Species,TagID,Necropsy ID,Total mass (kg),Disc width (cm),Disc length (cm),Sex,Maturity,Stage,Gravid,Embryo mass (kg),Relative embryo mass (%),Clasper calcification,Clasper length inner (mm),Clasper length outer (mm),Liver mass (kg),H_S_I,Stomach full mass (g),Stomach empty mass (g) ,Stomach contents mass (g),Gross stomach contents,Spiral valve mass (g),Uteri diameter (mm) ,Uteri length (mm),No. of yolk follicles left ovary,Smallest yolk follicle,MOD,Ovary weight left (g),Oviductal gland left width (mm),Retain ovaries?,Testes weight left (g),Testes weight right (g),Epigonal mass left (g),Epigonal mass right (g),Comments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27/11/2017,,,,,,Mobula eregoodootenkee,NA,Me56_embryo,0.545,34.7,20.1,Female,Embryo ,Embryo ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TBA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27/11/2017,Lennox,46.28,East,11,23,Mobula eregoodootenkee,mobere-271117-LE5,Me55,15.9,118,65,Female,Adult,Mature ovulating ,No,NA,NA,NA,NA,NA,0.745,4.69,370,173,197,TBA,NA,54,91.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ovaries fully autolysed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14/12/2017,Lennox,27.88,East,11,NA,Mobula eregoodootenkee,mobere-141217-LE4,Me54,17.5,120,67,Female,Adult,Gravid,Yes,1.108,6.331428571,NA,NA,NA,0.644,3.68,197,150,47,TBA,NA,156,275,13,3.92,20.4,13*,NA,Yes,NA,NA,NA,NA,Ovaries mildly autolysed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14/12/2017,,,,,,Mobula eregoodootenkee,NA,Me54_embryo,1.108,42.3,24.3,Male,Embryo ,Embryo ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TBA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27/11/2017,Lennox,46.28,East,11,23,Mobula eregoodootenkee,mobere-271117-LE2,Me53,18.3,116.2,65.8,Female,Adult,Mature ovulating ,No,NA,NA,NA,NA,NA,1.007,5.50,335,163,172,TBA,NA,57.78,96.52,29,4.2,12.05,63,NA,Yes,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27/11/2017,Lennox,27.88,East,11,NA,Mobula eregoodootenkee,mobere-141217-LE2,Me51,18.4,120.1,69.8,Female,Adult,Gravid,Yes,0.729,3.961956522,NA,NA,NA,0.682,3.71,232,152,80,TBA,NA,154,245,18,6.4,14.2,12*,NA,Yes,NA,NA,NA,NA,Ovaries mildly autolysed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/02/2018,,,,,,Mobula eregoodootenkee,NA,Me51_embryo,0.729,38.5,22.3,Female,Embryo ,Embryo ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TBA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14/12/2017,Lennox,42.95,East,10,22.2,Mobula eregoodootenkee,mobere-070218le,Me61,14.8,115.4,65.4,Female,Adult,Mature ovulating ,No,NA,NA,NA,NA,NA,0.734,4.96,?,?,#VALUE!,TBA,NA,42.7,81,15,5.1,14.2,64,NA,Yes,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14/12/2017,Lennox,24.88,East,11,NA,Mobula eregoodootenkee,mobere-141217-LE1,Me59,17.1,113.2,65.4,Female,Adult,Gravid,Yes,0.368,2.152046784,NA,NA,NA,0.851,4.98,180.39,164.5,15.89,TBA,NA,90,155,21,4.1,9.2,58,NA,Yes,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Mobula eregoodootenkee,NA,Me59_embryo,0.368,??,??,??,Embryo ,Embryo ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TBA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13/12/2017,Sharpes,42.22,East,10,22.4,Mobula eregoodootenkee,me131217sp,Me57,23,121,70.5,Female,Adult,Gravid,Yes,1.09,4.739130435,NA,NA,NA,0.894,3.89,532.5,186,346.5,TBA,172,142,250,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,Specimen sent to QLD for Mike on 18/12/2017 (ovaries autolysed),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Mobula eregoodootenkee,NA,Me57_embryo,1.09,37,21.6,Male,Embryo ,Embryo ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TBA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25/04/2018,Lennox,48.8,East,10,23.6,Mobula eregoodootenkee,me250418le,Me63,14,106.3,59,Male,Adult,Adult,NA,NA,NA,?,129,40,0.844,6.03,132.04,122.06,9.98,TBA,140.51,NA,NA,NA,NA,NA,NA,NA,NA,?,?,?,?,"Specimen to go to QLD in June 2018, total testes mass 48.57 g",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25/04/2018,Sharpes,51.25,East,10,23.4,Mobula eregoodootenkee,me250418sh,Me64,12,99.5,56.5,Male,Adult,Adult,NA,NA,NA,?,112,38,0.736,6.13,162.6,98.97,63.63,TBA,139.14,NA,NA,NA,NA,NA,NA,NA,NA,?,?,?,?,"Specimen to go to QLD in June 2018, total testes mass 17.00 g",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grey are from the second trial.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
